268,4624728.3616,377128.8706,2.7254,-26.7280
269,4624731.4038,377128.9542,2.5664,-26.8870
270,4624734.5736,377128.5364,2.3514,-27.1020
271,4624737.7021,377128.1915,2.2174,-27.2360
272,4624740.7782,377128.0977,2.0584,-27.3950
273,4624743.8717,377128.0813,1.8474,-27.6060
274,4624746.5564,377126.5363,1.7565,-27.6970
275,4624746.3090,377123.4699,1.8845,-27.5690
276,4624745.2810,377120.3966,2.0126,-27.4410
277,4624744.2736,377117.5277,2.1067,-27.3470
278,4624743.4820,377114.4455,2.2128,-27.2410
279,4624742.6249,377111.5086,2.3719,-27.0820
280,4624741.8559,377108.4976,2.5119,-26.9420
281,4624740.8672,377105.6466,2.6140,-26.8400
282,4624739.7158,377102.7001,2.7011,-26.7530
283,4624738.6989,377099.5528,2.7482,-26.7060
284,4624737.6074,377096.5728,2.7543,-26.7000
285,4624738.5998,377093.5726,2.6523,-26.8020
286,4624741.4550,377092.2360,2.6084,-26.8460
287,4624744.4637,377091.2149,2.6334,-26.8210
288,4624747.4187,377090.6718,2.6134,-26.8410
289,4624750.5151,377090.4243,2.5084,-26.9460
290,4624753.6576,377089.7879,2.3464,-27.1080
291,4624756.6425,377088.7489,2.2204,-27.2340
292,4624759.5379,377087.7116,2.0945,-27.3600
293,4624762.3969,377086.7265,1.9625,-27.4920
294,4624765.2221,377085.5877,1.8225,-27.6320
295,4624768.2276,377085.0279,1.7115,-27.7430
296,4624771.2085,377084.0486,1.6135,-27.8410
297,4624774.1044,377083.1258,1.5016,-27.9530
298,4624777.1474,377082.1894,1.4096,-28.0450
299,4624779.8995,377080.5459,1.3346,-28.1200
300,4624781.5471,377077.9080,1.3287,-28.1260
301,4624781.8033,377074.8829,1.3938,-28.0610
302,4624781.7694,377071.8248,1.4659,-27.9890
303,4624781.5840,377068.5731,1.5559,-27.8990
304,4624781.1093,377065.4990,1.6380,-27.8170
305,4624780.3953,377062.4965,1.7511,-27.7040
306,4624779.3343,377059.3329,1.8792,-27.5760
307,4624778.8435,377056.1626,1.9923,-27.4630
308,4624778.2235,377053.0251,2.1023,-27.3530
309,4624777.2240,377050.1207,2.2364,-27.2190
310,4624776.0175,377047.2639,2.3155,-27.1400
311,4624775.0444,377044.2557,2.4556,-27.0000
312,4624774.1974,377041.3600,2.5687,-26.8870
313,4624773.2641,377038.3474,2.6497,-26.8060
314,4624773.5960,377035.3643,2.7228,-26.7330
315,4624775.8104,377033.2741,2.6829,-26.7730
316,4624779.0124,377032.4528,2.6239,-26.8320
317,4624782.0185,377031.3809,2.5399,-26.9160
318,4624784.9268,377030.3756,2.4069,-27.0490
319,4624787.6843,377029.0940,2.3190,-27.1370
320,4624790.4796,377027.5138,2.2680,-27.1880
321,4624793.2081,377026.2207,2.1850,-27.2710
322,4624796.2470,377025.1937,2.0611,-27.3950
323,4624799.0247,377023.9094,1.9581,-27.4980
324,4624801.8821,377022.6102,1.8681,-27.5880
325,4624804.7009,377021.2625,1.7831,-27.6730
326,4624807.7271,377020.0895,1.6882,-27.7680
327,4624810.6241,377018.8761,1.6342,-27.8220
328,4624813.5074,377017.7087,1.5202,-27.9360
329,4624816.2414,377016.4355,1.4723,-27.9840
330,4624818.8222,377014.5769,1.4213,-28.0350
331,4624820.5117,377011.9699,1.4474,-28.0090
332,4624821.0674,377008.8384,1.5075,-27.9490
333,4624821.6048,377005.6616,1.5725,-27.8840
334,4624822.0033,377002.5667,1.6606,-27.7960
335,4624822.2183,376999.3529,1.7327,-27.7240
336,4624821.7229,376996.1091,1.8228,-27.6340
337,4624821.4572,376992.7247,1.8959,-27.5610
338,4624821.2899,376989.5403,1.9480,-27.5090
339,4624821.2564,376986.4640,1.9900,-27.4670
340,4624820.7290,376983.1758,2.0621,-27.3950
341,4624819.9129,376980.2273,2.1212,-27.3360
342,4624818.9444,376977.3669,2.1903,-27.2670
343,4624818.1870,376974.3979,2.2314,-27.2260
344,4624817.2493,376971.4821,2.3344,-27.1230
345,4624816.4218,376968.5707,2.3805,-27.0770
346,4624815.5246,376965.6109,2.4506,-27.0070
347,4624814.7134,376962.5299,2.5137,-26.9440
348,4624814.3572,376959.4836,2.5628,-26.8950
349,4624814.5859,376956.3908,2.5788,-26.8790
350,4624815.9460,376953.5625,2.5929,-26.8650
351,4624818.5034,376951.5696,2.5160,-26.9420
352,4624821.5115,376950.5166,2.4090,-27.0490
353,4624824.3757,376949.4228,2.4050,-27.0530
354,4624827.5257,376948.4636,2.4010,-27.0570
355,4624830.5596,376947.7572,2.4300,-27.0280
356,4624833.7618,376947.0646,2.4021,-27.0560
357,4624836.7440,376946.2696,2.4091,-27.0490
358,4624839.8261,376945.8919,2.3611,-27.0970
359,4624842.7650,376945.1795,2.3221,-27.1360
360,4624846.1443,376944.7815,2.2591,-27.1990
361,4624849.1808,376944.4231,2.1361,-27.3220
362,4624852.2016,376943.6490,2.0511,-27.4070
363,4624855.1944,376942.5169,1.9442,-27.5140
364,4624858.1809,376941.6948,1.8292,-27.6290
365,4624861.1586,376940.9819,1.7192,-27.7390
366,4624864.2363,376939.9810,1.5912,-27.8670
367,4624867.2478,376938.2570,1.4802,-27.9780
368,4624869.2580,376935.8709,1.4423,-28.0160
369,4624869.9752,376932.7860,1.4964,-27.9620
370,4624869.9608,376929.5384,1.6005,-27.8580
371,4624869.3323,376926.4152,1.7386,-27.7200
372,4624868.8064,376923.3217,1.8836,-27.5750
373,4624868.0681,376920.1965,2.0567,-27.4020
374,4624867.2119,376917.1382,2.1668,-27.2920
