126,4624954.9414,376771.3182,3.5956,-25.8670
127,4624953.4828,376774.0758,3.5985,-25.8640
128,4624951.7207,376776.6609,3.5764,-25.8860
129,4624950.1624,376779.2419,3.5863,-25.8760
130,4624948.8430,376782.0650,3.5183,-25.9440
131,4624947.0060,376784.4436,3.5722,-25.8900
132,4624945.4110,376787.0713,3.5271,-25.9350
133,4624943.6019,376789.5796,3.5351,-25.9270
134,4624941.9593,376792.1654,3.5430,-25.9190
135,4624940.4815,376794.9153,3.5149,-25.9470
136,4624938.6371,376797.4397,3.5219,-25.9400
137,4624936.9961,376800.2018,3.4558,-26.0060
138,4624935.3898,376802.9481,3.4017,-26.0600
139,4624933.4552,376805.3385,3.4637,-25.9980
140,4624931.7683,376808.0803,3.3446,-26.1170
141,4624930.0435,376810.6367,3.2425,-26.2190
142,4624929.7860,376813.6812,3.0495,-26.4120
143,4624931.4841,376816.1934,2.6544,-26.8070
144,4624932.8563,376818.9200,2.4673,-26.9940
145,4624929.8145,376819.1925,3.3573,-26.1040
146,4624928.2412,376816.4288,3.0354,-26.4260
147,4624925.5966,376818.0729,3.1774,-26.2840
148,4624923.8175,376820.7807,3.2233,-26.2380
149,4624921.6748,376823.0040,3.2262,-26.2350
150,4624919.4392,376825.0496,3.2682,-26.1930
151,4624917.5555,376827.4652,3.2251,-26.2360
152,4624915.8072,376830.1366,3.1020,-26.3590
153,4624913.7952,376832.4357,3.1030,-26.3580
154,4624911.5363,376834.6865,3.1069,-26.3540
155,4624909.1109,376836.8229,3.1509,-26.3100
156,4624906.8094,376838.8251,3.1628,-26.2980
157,4624904.7435,376841.0906,3.0828,-26.3780
158,4624902.4322,376843.2505,3.0497,-26.4110
159,4624899.9346,376845.0238,3.0457,-26.4150
160,4624897.0053,376846.2042,3.0936,-26.3670
161,4624894.2915,376847.5207,3.1666,-26.2940
162,4624893.6719,376850.4756,3.0115,-26.4490
163,4624891.9752,376853.1643,2.9395,-26.5210
164,4624889.6724,376855.2352,2.9044,-26.5560
165,4624887.3846,376857.2092,2.8634,-26.5970
166,4624884.7620,376858.9839,2.8063,-26.6540
167,4624882.4576,376860.9993,2.8773,-26.5830
168,4624879.9093,376863.0194,2.8652,-26.5950
169,4624877.5841,376865.3131,2.8422,-26.6180
170,4624875.4268,376867.4461,2.8151,-26.6450
171,4624873.1314,376869.3997,2.8081,-26.6520
172,4624871.0425,376871.6773,2.7790,-26.6810
173,4624869.1701,376874.0284,2.7659,-26.6940
174,4624867.5055,376876.7890,2.7609,-26.6990
175,4624866.2039,376879.9347,2.6988,-26.7610
176,4624864.6374,376882.6109,2.6847,-26.7750
177,4624862.5655,376884.9255,2.6707,-26.7890
178,4624860.2280,376887.1146,2.6406,-26.8190
179,4624858.1253,376889.4963,2.6266,-26.8330
180,4624856.0350,376891.6895,2.6375,-26.8220
181,4624854.1726,376894.1556,2.6034,-26.8560
182,4624852.1590,376896.4993,2.5934,-26.8660
183,4624850.0731,376898.6607,2.5853,-26.8740
184,4624848.0329,376901.2300,2.5563,-26.9030
185,4624846.5308,376904.0439,2.5352,-26.9240
186,4624845.0292,376906.8511,2.5261,-26.9330
187,4624843.2125,376909.7087,2.4820,-26.9770
188,4624841.7330,376912.3292,2.4740,-26.9850
189,4624839.8328,376914.7127,2.5219,-26.9370
190,4624837.9988,376917.1542,2.5238,-26.9350
191,4624836.0463,376919.7664,2.5058,-26.9530
192,4624834.2596,376922.3516,2.5127,-26.9460
193,4624832.2869,376924.8309,2.5037,-26.9550
194,4624830.4308,376927.4380,2.5286,-26.9300
195,4624828.8695,376930.1953,2.5435,-26.9150
196,4624827.4467,376932.9340,2.5494,-26.9090
197,4624826.0730,376935.6761,2.5144,-26.9440
198,4624824.3836,376938.2029,2.5253,-26.9330
199,4624822.8583,376940.9911,2.5432,-26.9150
200,4624821.3782,376943.7434,2.5612,-26.8970
201,4624819.6959,376946.3729,2.5911,-26.8670
202,4624817.9293,376948.9238,2.6070,-26.8510
203,4624816.2452,376951.4067,2.6400,-26.8180
204,4624814.8934,376954.1369,2.6619,-26.7960
205,4624813.6265,376956.8826,2.6508,-26.8070
206,4624812.2875,376959.8835,2.6918,-26.7660
207,4624811.1439,376962.9486,2.6747,-26.7830
208,4624809.8707,376965.8925,2.7066,-26.7510
209,4624808.6354,376968.8542,2.6745,-26.7830
210,4624807.1354,376971.6552,2.6685,-26.7890
211,4624805.9245,376974.6245,2.6724,-26.7850
212,4624804.5964,376977.3353,2.6923,-26.7650
213,4624802.9652,376979.9610,2.7392,-26.7180
214,4624801.6324,376982.8239,2.7542,-26.7030
215,4624799.9118,376985.4527,2.7671,-26.6900
216,4624798.3898,376988.2900,2.7800,-26.6770
217,4624797.1855,376991.0632,2.7990,-26.6580
218,4624795.7891,376993.9293,2.8439,-26.6130
219,4624794.5018,376996.7951,2.8348,-26.6220
220,4624793.7382,376999.8724,2.8047,-26.6520
221,4624792.8758,377002.8982,2.7946,-26.6620
222,4624791.6629,377005.7227,2.7656,-26.6910
223,4624790.3921,377008.4603,2.7555,-26.7010
224,4624789.2757,377011.3000,2.7514,-26.7050
