10,4624914.4095,376707.7448,2.6973,-26.7670,STK1 BMOPUS CUT 0.005
11,4624915.4259,376706.3742,2.6924,-26.7720,STK2 REF2 FILL 0.003
12,4624913.1246,376704.5726,2.7094,-26.7550,STK3 REF3 FILL 0.001
13,4624701.3558,377053.9445,2.2024,-27.2530,S77827
14,4624734.9529,377069.2987,2.5490,-26.9060,N77669
15,4624914.4015,376707.7263,2.7083,-26.7560,STK1 BMOPUS CUT 0.016 (wheel)
16,4624915.4198,376706.3612,2.7014,-26.7630,STK2 REF2 CUT 0.006 (wheel)
17,4624913.1091,376704.5641,2.7054,-26.7590,STK3 REF3 FILL 0.005(wheel)
18,4624910.2484,376698.7120,2.8356,-26.6290,STK4 RM4 CUT 0.024 (wheel)
19,4625151.7349,376514.9005,3.6051,-25.8640,BASEDUNEW
20,4625151.6206,376517.9882,3.5000,-25.9690,BASEDUNEW
21,4625151.4245,376521.0263,3.4489,-26.0200,BASEDUNEW
22,4625151.2895,376524.1833,3.3558,-26.1130,BASEDUNEW
23,4625150.8301,376527.3481,3.2298,-26.2390,BASEDUNEW
24,4625150.1794,376530.3109,3.2077,-26.2610,BASEDUNEW
25,4625149.0132,376533.1521,3.0686,-26.4000,BASEDUNEW
26,4625147.7630,376535.9640,2.9515,-26.5170,BASEDUNEW
27,4625146.2720,376538.7085,2.8575,-26.6110,BASEDUNEW
28,4625144.7103,376541.2958,2.8214,-26.6470,BASEDUNEW
29,4625142.9254,376543.8233,2.8453,-26.6230,BASEDUNEW
30,4625140.9193,376546.3749,2.8813,-26.5870,BASEDUNEW
31,4625138.8446,376548.7241,2.9632,-26.5050,BASEDUNEW
32,4625136.6886,376550.9675,3.0261,-26.4420,BASEDUNEW
33,4625134.5054,376553.2148,3.0851,-26.3830,BASEDUNEW
34,4625132.1279,376555.4374,3.1450,-26.3230,BASEDUNEW
35,4625129.9733,376557.6142,3.1760,-26.2920,BASEDUNEW
36,4625127.7823,376559.7000,3.1799,-26.2880,BASEDUNEW
37,4625125.6711,376561.9000,3.1519,-26.3160,BASEDUNEW
38,4625123.5217,376564.0127,3.1648,-26.3030,BASEDUNEW
39,4625121.3365,376566.1612,3.1968,-26.2710,BASEDUNEW
40,4625119.0854,376568.3804,3.1937,-26.2740,BASEDUNEW
41,4625116.7724,376570.6304,3.2237,-26.2440,BASEDUNEW
42,4625114.3706,376572.7497,3.2466,-26.2210,BASEDUNEW
43,4625112.1658,376575.0953,3.2115,-26.2560,BASEDUNEW
44,4625110.0549,376577.4462,3.2445,-26.2230,BASEDUNEW
45,4625107.6688,376579.5419,3.2844,-26.1830,BASEDUNEW
46,4625105.6608,376581.8044,3.2974,-26.1700,BASEDUNEW
47,4625103.5640,376583.9870,3.2953,-26.1720,BASEDUNEW
48,4625101.5826,376586.4256,3.2853,-26.1820,BASEDUNEW
49,4625099.3186,376588.4707,3.3962,-26.0710,BASEDUNEW
50,4625097.0672,376590.7360,3.4631,-26.0040,BASEDUNEW
51,4625094.8923,376592.8776,3.5021,-25.9650,BASEDUNEW
52,4625092.7922,376595.1673,3.5210,-25.9460,BASEDUNEW
53,4625090.7248,376597.5258,3.5210,-25.9460,BASEDUNEW
54,4625088.6911,376599.8189,3.5239,-25.9430,BASEDUNEW
55,4625086.7369,376602.2879,3.5059,-25.9610,BASEDUNEW
56,4625084.6444,376604.4687,3.5168,-25.9500,BASEDUNEW
57,4625082.6495,376606.7318,3.4907,-25.9760,BASEDUNEW
58,4625080.7025,376609.1629,3.4037,-26.0630,BASEDUNEW
59,4625078.6698,376611.4091,3.3696,-26.0970,BASEDUNEW
60,4625076.4968,376613.5567,3.3836,-26.0830,BASEDUNEW
61,4625074.8861,376616.1509,3.9015,-25.5650,BASEDUNEW
62,4625073.7534,376616.1420,3.4245,-26.0420,BASEDUNEW
63,4625071.8850,376618.6788,3.4364,-26.0300,BASEDUNEW
64,4625069.8675,376620.9144,3.3744,-26.0920,BASEDUNEW
65,4625067.7457,376623.2916,3.3813,-26.0850,BASEDUNEW
66,4625065.6264,376625.5362,3.3533,-26.1130,BASEDUNEW
67,4625063.4958,376627.8510,3.3492,-26.1170,BASEDUNEW
68,4625061.5825,376630.1665,3.2721,-26.1940,BASEDUNEW
69,4625059.5995,376632.5259,3.2861,-26.1800,BASEDUNEW
70,4625057.3033,376634.7920,3.3500,-26.1160,BASEDUNEW
71,4625055.1772,376636.9454,3.4070,-26.0590,BASEDUNEW
72,4625053.0917,376639.4423,3.4109,-26.0550,BASEDUNEW
73,4625051.1763,376641.7881,3.4099,-26.0560,BASEDUNEW
74,4625049.0054,376644.2150,3.3938,-26.0720,BASEDUNEW
